farmer_id,farmer_name,farmer_type,county,sub_county,ward,gender_of_lead_farmer,farm_size_acres,primary_cereal,farming_model,aggregation_channel,certification_status,distance_to_collection_center_km,payment_preference,reliability_score,registration_date
F0001,Trans Grain Growers Association #18,Youth Farmer Group,Trans Nzoia,Trans Nzoia Sub-County 1,Trans Nzoia Ward 9,Male,4.2,Maize,Rainfed,Cooperative Bulking,None,9.2,Mobile Money,74,2022-04-22
F0002,David Nyongesa,Medium-Scale Farmer,Trans Nzoia,Trans Nzoia Sub-County 4,Trans Nzoia Ward 5,Male,10.5,Beans,Mixed,Direct Delivery,Certified Seed User,19.1,Mobile Money,72,2023-05-16
F0003,Nancy Kiptoo,Smallholder Farmer,Meru,Meru Sub-County 4,Meru Ward 2,Female,7.9,Maize,Rainfed,Field Agent,Certified Seed User,32.5,Bank Transfer,85,2023-07-30
F0004,Esther Auma,Medium-Scale Farmer,Kakamega,Kakamega Sub-County 3,Kakamega Ward 4,Female,10.1,Cowpeas,Mixed,Direct Delivery,Certified Seed User,2.8,Bank Transfer,83,2021-06-13
F0005,Nakuru Youth Agribusiness Group #18,Cooperative,Nakuru,Nakuru Sub-County 3,Nakuru Ward 3,Female,3.5,Sorghum,Rainfed,Collection Center,Certified Seed User,4.1,Bank Transfer,51,2024-10-31
F0006,Kirinyaga Farmers Cooperative Society #16,Youth Farmer Group,Kirinyaga,Kirinyaga Sub-County 3,Kirinyaga Ward 9,Male,1.3,Rice,Rainfed,Field Agent,GAP Certified,5.1,Bank Transfer,80,2022-04-15
F0007,Narok Youth Agribusiness Group #18,Cooperative,Narok,Narok Sub-County 3,Narok Ward 4,Male,7.5,Maize,Irrigated,Cooperative Bulking,GAP Certified,7.5,Mobile Money,73,2021-10-20
F0008,Stephen Kamau,Smallholder Farmer,Kitui,Kitui Sub-County 4,Kitui Ward 7,Male,1.9,Millet,Rainfed,Collection Center,None,2.7,Mobile Money,77,2021-04-07
F0009,Meru Grain Growers Association #11,Cooperative,Meru,Meru Sub-County 4,Meru Ward 7,Female,1.9,Sorghum,Irrigated,Cooperative Bulking,None,6.2,Cash,72,2021-01-24
F0010,Nakuru Grain Growers Association #35,Women-Led Group,Nakuru,Nakuru Sub-County 3,Nakuru Ward 2,Female,3.0,Millet,Rainfed,Collection Center,None,22.6,Cash,62,2022-06-24
F0011,Peter Achieng,Commercial Farmer,Kirinyaga,Kirinyaga Sub-County 2,Kirinyaga Ward 3,Male,13.2,Green Grams,Rainfed,Collection Center,None,7.6,Bank Transfer,60,2023-12-23
F0012,Narok Youth Agribusiness Group #2,Cooperative,Narok,Narok Sub-County 3,Narok Ward 4,Male,0.9,Cowpeas,Rainfed,Direct Delivery,None,14.4,Mobile Money,78,2021-05-22
F0013,Lucy Nyongesa,Commercial Farmer,Meru,Meru Sub-County 4,Meru Ward 4,Female,12.9,Maize,Mixed,Collection Center,Certified Seed User,3.0,Mobile Money,78,2024-10-07
F0014,Nyeri Farmers Cooperative Society #29,Youth Farmer Group,Nyeri,Nyeri Sub-County 1,Nyeri Ward 6,Male,2.7,Maize,Rainfed,Collection Center,Certified Seed User,3.8,Mobile Money,72,2024-07-16
F0015,Simon Kiptoo,Smallholder Farmer,Bungoma,Bungoma Sub-County 2,Bungoma Ward 5,Male,2.1,Maize,Irrigated,Collection Center,None,8.0,Bank Transfer,89,2024-03-15
F0016,Kitui Youth Agribusiness Group #27,Youth Farmer Group,Kitui,Kitui Sub-County 4,Kitui Ward 6,Male,3.8,Maize,Rainfed,Cooperative Bulking,GAP Certified,40.0,Mobile Money,70,2024-08-31
F0017,Josephine Kiptoo,Commercial Farmer,Nakuru,Nakuru Sub-County 1,Nakuru Ward 4,Female,9.7,Green Grams,Rainfed,Cooperative Bulking,None,16.2,Mobile Money,83,2023-08-06
F0018,Simon Nyongesa,Smallholder Farmer,Bungoma,Bungoma Sub-County 1,Bungoma Ward 2,Male,5.9,Maize,Mixed,Collection Center,None,1.7,Mobile Money,88,2022-03-14
F0019,Uasin Cereal Growers Cooperative #25,Cooperative,Uasin Gishu,Uasin Gishu Sub-County 3,Uasin Gishu Ward 8,Male,1.5,Barley,Rainfed,Cooperative Bulking,None,9.8,Mobile Money,71,2021-04-30
F0020,Uasin Grain Growers Association #21,Youth Farmer Group,Uasin Gishu,Uasin Gishu Sub-County 4,Uasin Gishu Ward 9,Male,2.1,Maize,Mixed,Collection Center,None,4.5,Mobile Money,73,2022-01-16
F0021,Samuel Muthoni,Smallholder Farmer,Bungoma,Bungoma Sub-County 2,Bungoma Ward 1,Male,5.1,Maize,Irrigated,Cooperative Bulking,Certified Seed User,6.8,Mobile Money,93,2022-10-10
F0022,Daniel Mwangi,Commercial Farmer,Makueni,Makueni Sub-County 2,Makueni Ward 5,Male,11.8,Maize,Rainfed,Direct Delivery,None,8.4,Mobile Money,67,2024-02-28
F0023,Stephen Kamau,Commercial Farmer,Bungoma,Bungoma Sub-County 3,Bungoma Ward 2,Male,10.9,Maize,Mixed,Field Agent,None,6.0,Mobile Money,96,2024-01-18
F0024,Trans Grain Growers Association #36,Women-Led Group,Trans Nzoia,Trans Nzoia Sub-County 1,Trans Nzoia Ward 3,Female,3.2,Maize,Rainfed,Direct Delivery,Certified Seed User,7.4,Mobile Money,72,2022-08-01
F0025,Narok Cereal Growers Cooperative #17,Youth Farmer Group,Narok,Narok Sub-County 1,Narok Ward 2,Female,2.5,Maize,Irrigated,Field Agent,None,13.7,Mobile Money,80,2021-09-25
F0026,Machakos Cereal Growers Cooperative #29,Youth Farmer Group,Machakos,Machakos Sub-County 1,Machakos Ward 2,Female,1.5,Wheat,Mixed,Collection Center,None,15.9,Bank Transfer,69,2024-04-07
F0027,Esther Barasa,Medium-Scale Farmer,Kisii,Kisii Sub-County 1,Kisii Ward 6,Female,13.5,Cowpeas,Rainfed,Collection Center,Certified Seed User,2.9,Mobile Money,80,2024-02-21
F0028,Kisii Farmers Cooperative Society #10,Cooperative,Kisii,Kisii Sub-County 2,Kisii Ward 7,Male,3.2,Green Grams,Rainfed,Field Agent,Certified Seed User,21.4,Mobile Money,88,2024-10-03
F0029,Kitui Women in Agriculture Group #11,Cooperative,Kitui,Kitui Sub-County 1,Kitui Ward 8,Male,1.7,Beans,Rainfed,Cooperative Bulking,None,6.0,Bank Transfer,71,2022-04-12
F0030,Esther Otieno,Smallholder Farmer,Makueni,Makueni Sub-County 3,Makueni Ward 6,Female,3.7,Barley,Irrigated,Cooperative Bulking,Certified Seed User,7.4,Bank Transfer,79,2022-11-10
F0031,Joseph Njoroge,Commercial Farmer,Nakuru,Nakuru Sub-County 3,Nakuru Ward 1,Male,8.8,Wheat,Rainfed,Cooperative Bulking,None,4.7,Bank Transfer,70,2023-06-13
F0032,Nakuru Youth Agribusiness Group #37,Youth Farmer Group,Nakuru,Nakuru Sub-County 4,Nakuru Ward 1,Male,2.6,Maize,Rainfed,Collection Center,None,11.9,Mobile Money,81,2024-09-22
F0033,Peter Achieng,Commercial Farmer,Narok,Narok Sub-County 4,Narok Ward 6,Male,11.6,Wheat,Rainfed,Field Agent,Certified Seed User,3.6,Mobile Money,75,2024-09-23
F0034,Joseph Muthoni,Commercial Farmer,Kirinyaga,Kirinyaga Sub-County 1,Kirinyaga Ward 5,Male,8.4,Wheat,Rainfed,Cooperative Bulking,Certified Seed User,1.3,Mobile Money,75,2022-10-22
F0035,Stephen Kariuki,Medium-Scale Farmer,Nyeri,Nyeri Sub-County 2,Nyeri Ward 2,Male,11.1,Green Grams,Rainfed,Field Agent,None,3.9,Cash,99,2022-04-27
F0036,Kitui Cereal Growers Cooperative #10,Youth Farmer Group,Kitui,Kitui Sub-County 4,Kitui Ward 2,Male,2.6,Maize,Rainfed,Collection Center,Certified Seed User,7.1,Mobile Money,79,2023-03-30
F0037,Simon Mutua,Smallholder Farmer,Trans Nzoia,Trans Nzoia Sub-County 2,Trans Nzoia Ward 3,Male,6.2,Millet,Mixed,Cooperative Bulking,None,12.7,Mobile Money,85,2021-09-06
F0038,Stephen Auma,Medium-Scale Farmer,Nyeri,Nyeri Sub-County 4,Nyeri Ward 9,Male,15.2,Beans,Rainfed,Cooperative Bulking,GAP Certified,7.9,Bank Transfer,57,2023-08-31
F0039,Joseph Wekesa,Medium-Scale Farmer,Kitui,Kitui Sub-County 2,Kitui Ward 5,Male,9.3,Rice,Rainfed,Field Agent,None,9.0,Mobile Money,68,2024-01-12
F0040,Josephine Cherop,Smallholder Farmer,Meru,Meru Sub-County 1,Meru Ward 7,Female,0.7,Millet,Rainfed,Cooperative Bulking,None,2.7,Mobile Money,76,2023-05-11
F0041,Charles Kiprono,Medium-Scale Farmer,Trans Nzoia,Trans Nzoia Sub-County 1,Trans Nzoia Ward 6,Male,9.4,Beans,Rainfed,Cooperative Bulking,GAP Certified,2.3,Cash,96,2023-05-09
F0042,Joseph Odhiambo,Medium-Scale Farmer,Kitui,Kitui Sub-County 4,Kitui Ward 6,Male,9.6,Rice,Irrigated,Cooperative Bulking,Certified Seed User,19.9,Bank Transfer,71,2021-09-19
F0043,Kennedy Kiprono,Commercial Farmer,Trans Nzoia,Trans Nzoia Sub-County 1,Trans Nzoia Ward 7,Male,13.1,Sorghum,Rainfed,Cooperative Bulking,None,8.3,Mobile Money,59,2022-11-02
F0044,Winnie Muthoni,Smallholder Farmer,Narok,Narok Sub-County 4,Narok Ward 5,Female,0.7,Maize,Mixed,Cooperative Bulking,None,21.5,Mobile Money,78,2022-12-18
F0045,Moses Kiplagat,Smallholder Farmer,Bungoma,Bungoma Sub-County 2,Bungoma Ward 4,Male,3.6,Millet,Mixed,Collection Center,None,4.9,Mobile Money,86,2021-08-23
F0046,Makueni Youth Agribusiness Group #17,Youth Farmer Group,Makueni,Makueni Sub-County 1,Makueni Ward 3,Female,4.3,Maize,Mixed,Direct Delivery,Certified Seed User,14.6,Cash,79,2024-03-25
F0047,Kakamega Youth Agribusiness Group #13,Youth Farmer Group,Kakamega,Kakamega Sub-County 2,Kakamega Ward 2,Male,1.7,Sorghum,Irrigated,Field Agent,GAP Certified,21.6,Mobile Money,79,2021-09-05
F0048,Uasin Women in Agriculture Group #35,Women-Led Group,Uasin Gishu,Uasin Gishu Sub-County 3,Uasin Gishu Ward 2,Female,3.7,Beans,Rainfed,Field Agent,None,2.6,Mobile Money,66,2023-10-01
